骨,bone
長管骨,long bone
海綿骨,spongy bone
緻密骨,compact bone
骨幹,diaphysis
骨幹端,metaphysis
骨端,epiphysis
骨端線,epiphyseal line
短骨,short bone
扁平骨,flat bone
不定形骨,irregular bone
脱灰標本,decalcified section
研磨標本,ground section
ハバース系,Haversian system
オステオン,osteon
ハバース層板,Haversian lamella
介在層板,interstitial lamella
内基礎層板,inner circumferential lamella
外基礎層板,outer circumferential lamella
フォルクマン管,Volkmann's canal
ハバース管,Haversian canal
骨膜,periosteum
骨内膜,endosteum
骨前駆細胞,osteoprogenitor cell
骨芽細胞,osteoblast
骨細胞,osteocyte
破骨細胞,osteoclast
骨被覆細胞,bone-lining cell
骨形成,bone formation
膜内骨化,intramembranous ossification
軟骨内骨化,endochondral ossification
補充軟骨帯,zone of reserved cartilage
増殖帯,zone of proliferation
肥大帯,zone of hypertrophy
石灰化軟骨帯,zone of calcified cartilage
吸収帯,zone of resorption
