方法,method
固定,fixation
包埋,embedding
薄切,sectioning
染色,staining
HE染色,Hematoxylin-Eosin staining
免疫組織染色,immunohistochemistry
透過型電子顕微鏡,transmission electron microscope
走査型電子顕微鏡,scanning electron microscope
原子間力顕微鏡,atomic force microscope
上皮,epithelium
上皮の分類,classification of epithelium
細胞接着装置,cell junctions
極性,polarity
自由表面,free surface
頂上領域,apical domain
外側領域,lateral domain
基底領域,basal domain
基底膜,basal membrane
細胞層,cell layer
単層,simple
重層,stratified
扁平,squamous
立方,cuboidal
円柱,columnar
繊毛,cilia
化生,metaplasia
微絨毛,microvilli
不動毛,stereocilia/stereovilli
閉鎖結合,occluding junctions
タイト結合,tight junctions
閉鎖帯,zonula occludens
接着結合,anchoring junctions
接着帯,zonula adherens
接着班,macula adherens
デスモゾーム,desmosome
交通性結合,communicating junctions
ギャップ結合,gap junction
ネクサス,nexus
細胞-細胞外マトリクス接着装置,cell-to-extracellular matrix adhesion
局所接着,focal adhesion
ヘミデスモゾーム,hemidesmosome
基底細胞膜陥入,basal cell membrane infolding
分泌,secretion
外分泌腺,exocrine gland
内分泌腺,endocrine gland
不分枝腺,unbranched gland
分枝腺,branched gland
螺旋状腺,coiled gland
単一腺,simple gland
複合腺,compound gland
管状腺,tubular gland
胞状腺,acinar/alveolar gland
管状胞状腺,tubuloalveolar gland
粘液腺,mucus gland
漿液腺,serous gland
疎性結合組織,loose connective tissue
密生規則性結合組織,dense regular connective tissue
密生不規則性結合組織,dense irregular connective tissue
脂肪組織,adipose tissue
造血組織,hematopoietic tissue
コラーゲン繊維,collagen fiber
細網繊維,reticular fiber
弾性繊維,elastic fiber
マクロファージ,macrophage
肥満細胞,mast cell
脂肪組織,adipose tissue
白色脂肪組織,white adipocyte
褐色脂肪組織,brown adipocyte
硝子軟骨,hyaline cartilage
弾性軟骨,elastic cartilage
線維軟骨,fibrocartilage
長管骨,long bone
短骨,short bone
扁平骨,flat bone
不定形骨,irregular bone
脱灰標本,decalcified section
研磨標本,ground section
骨前駆細胞,osteoprogenitor cell
骨芽細胞,osteoblast
骨細胞,osteocyte
破骨細胞,osteoclast
骨被覆細胞,bone-lining cell
骨形成,bone formation
膜内骨化,intramembranous ossification
軟骨内骨化,endochondral ossification
赤血球,red blood cell
白血球,white blood cell
好中球,neutrophil
好酸球,eosinophil
好塩基球,basophil
単球,monocyte
リンパ球,lymphocyte
血小板,platelet
骨髄,bone marrow
造血,hematopoiesis
前赤芽球,proerythroblast
好塩基性赤芽球,basophilic erythroblast
多染性赤芽球,polychromatophilic erythroblast
正染性赤芽球,orthochromatic erythroblast
常赤芽球,normoblast
骨髄芽球,myeloblast
前骨髄球,promyelocyte
好中性骨髄球,neutrophebrate
好酸性骨髄球,eosinophilic myelocyte
好中性後骨髄球,neutrophilic metamyelocyte
好酸性後骨髄球,eosinophilic metamyelocyte
桿状核好中球,neutrophilic band cell
巨核芽球,megakaryoblast
巨核球,megabaryocyte
血液塗抹標本,blood smear
ギムザ染色,giemsa staining
横紋筋,striated muscle
骨格筋,skeletal muscle
心筋,cardiac muscle
平滑筋,smooth muscle
神経筋接合部,neuromuscular junction
筋紡錘,muscle spindle
中枢神経系,central nervous system
頭蓋腔,cranial cavity
脊髄,spinal cord
脊柱管,spinal canal
末梢神経系,peripheral nervous system
脳脊髄神経,cranial end spinal nerve
神経節,ganglion
体性神経系,somatic nervous system
自律神経系,autonomic nervous system
副交感神経系,parasympathetic division
交感神経系,sympathetic division
腸神経系,enteric division
神経細胞,nerve cell
核を含む細胞体,perikaryon
軸索,axon
樹状突起,dendrite
シナプス,synapse
支持細胞,supporting cell
神経膠細胞,neuroglia
シュワン細胞,Schwann cell
外套細胞,satellite cell
腸管グリア細胞,enteric glial cell
血管系,vasculature
血液-脳関門,blood-brain barriar
多極神経細胞,multipolar neuron
双極神経細胞,bipolar neuron
偽単極神経細胞,pseudounipolar neuron
単極神経細胞,unipolar neuron
感覚神経細胞,sensory neurons
運動神経細胞,motor neurons
介在神経細胞,interneurons
ランヴィエ絞輪,node of Ranvier
シュミット-ランターマン切痕,Schmidt-Lanterman cleft
求心性受容体,afferent receptor
自由終末,nonencapsulated/free nerve ending
被覆型終末,encapsulated ending
硬膜,dura mater
くも膜,arachnoid layer
軟骨,pia mater
多列繊毛上皮,ciliated pseudostratified epithelium
ホルモン,hormone
基底板,basal lamina
介在板,intercalated disc
星状膠細胞,astrocyte
小膠細胞,microglia
運動終盤,motor and plate
フォルクマン管,Volksmann's canal
移行上皮,transitional epithelium
網状赤血球,reticulocyte
