上皮,epithelium
細胞接着装置,cell junctions
自由表面/頂上領域,free surface/apical domain
外側領域,lateral domain
基底領域,basal domain
上皮の分類,classification of epithelium
細胞層,cell layer
単層,simple
重層,stratified
極性(表面の細胞の形),polarity
扁平,squamous
立方,cuboidal
円柱,columnar
内皮,endothelium
心内膜,endocardium
中皮,mesothelium
線毛,cilia
移行上皮,transitional epithelium
多列扁平上皮,ciliated pseudostratified columnar epithelium
化成,metaplasia
扁平上皮化成,squamous metaplasia
微絨毛,microvilli
不動毛,stereocilia/stereovilli
閉鎖結合,occluding junctions
タイト結合/閉鎖帯,tight junctions/zonula occludens
接着結合,anchoring junctions
接着帯,zonula adherens
接着斑/デスモゾーム,macula adherens/desmosome
交通性結合,communicating junctions
ギャップ結合/ネクサス,gap junctions/nexus
基底膜,basal membrane
細胞-細胞外マトリクス接着装置,cell-to-extracellular matrix junction
局所接着,focal adhesion
ヘミデスモゾーム,hemidesmosome
基底細胞膜陥入,basal membrane infolding
分泌,secretion
オートクリン,autocrine
パラクリン,paracrine
内分泌,endocrine
腺,gland
外分泌腺,exocrine gland
内分泌腺,endocrine gland
不分枝,unbranched
分枝,branched
らせん状,coiled
単一,simple
複合,compound
管状,tubular/acinar
胞状,alveolar
粘液腺,mucous gland
漿液腺,serous gland
