右目の鼻側の視野,nasal visual field of right eye
左目の耳側の視野,temporal visual field of left eye
耳側網膜,temporal retina
鼻側網膜,nasal retina
視神経,optic nerve
視交叉,optic chiasm
視索,optic tract
一次視覚野,visual cortex
視放線,optic radiation
一次視覚野を上下に分ける溝は何か？,鳥距溝
視野の上半分は一次視覚野のどの部分に投射されるか？,鳥距溝の下縁
動きに関する情報を伝える視覚経路は？,M経路
詳細な形や色に関する情報を伝える視覚経路は？,P経路
視神経の障害による症状は？,患側の完全失明と直接対光反射消失
視交叉内側部の矢状断障害の際の視野欠損は？,両眼の耳側の視野
視交叉の外側部が障害された際の視野欠損は？,患側の鼻側半盲
視索(右)が障害された際の視野欠損は？,対側の同名半盲。可視部では対光反射も調節反射も正常。
側頭葉の視放線が障害された際の視野欠損は？,対側の同名四分盲(上半分)
頭頂葉の視放線が障害された際の視野欠損は？,対側の同名四分盲(下半分)
後頭葉が障害された際の視野欠損は？,対側の同名半盲(黄斑部を除く)
