第５胸椎,fifth thoracic vertebra
胸骨,sternum
肋軟骨,costal cartilage
肋骨,ribs
肩甲骨,scapula
大胸筋,pectoralis major muscle
小胸筋,pectoralis minor muscle
前鋸筋,serratus anterior muscle
広背筋,latissimus dorsi muscle
肩甲下筋,subscapular muscle
棘下筋,infraspinatus
固有背筋,intrinsic  dorsal musculature
大菱形筋,rhomboid major muscle
僧帽筋,trapezius muscle
上行大動脈,ascending aorta
肺動脈,pulmonary artery
心膜腔,pericardial  cavity
下行大動脈,descending aorta
上大動脈,superior vena cava
奇静脈,azygos vein
内胸動脈,internal thoracic artery
外側胸動・静脈,lateral thoracic artery and vein
迷走神経,vagus nerve
横隔神経,phrenic nerve
食堂,esophagus
胸腺,thymus
左肺上葉,upper lobe of the left lung
左肺下葉,lower lobe of the left lung
右肺上葉,upper lobe of the right lung
右肺下葉,lower lobe of the right lung
左気管支,left bronchi
右気管支,right bronchi
