長趾伸筋,extensor digitorum longus muscle
前筋間中隔,anterior intermuscular septum
前脛骨動静脈,anterior tibial artery & vein
深腓骨神経,deep peroneal nerve
長腓骨筋,peroneus longus muscle
腓骨,fibula
後筋間中隔,posterior intermuscular septum
下腿筋膜,crural fascia
腓骨動静脈,peroneal artery & vein
腓腹筋外側頭,lateral head of gastrocnemius muscle
長母趾屈筋,flexor hallucis longus muscle
小伏在静脈,small saphenous vein
脛骨神経,tibial nerve
腓腹筋内側頭,medial head of gastrocnemius muscle
ヒラメ筋,soleus muscle
後脛骨動静脈,posterior tibial artery & vein
横筋間中隔,transverse intermuscular septum
大伏在静脈,great saphenous vein
長趾屈筋,flexor digitorum longus muscle
後脛骨筋,tibialis posterior muscle
骨間膜,interosseous membrane
脛骨,tibia
前脛骨筋,tibialis anterior muscle
